Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
C_GCM155R71H221KA37D,C,220 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 220 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H221KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H221KA37D
C_GCM155R71H221KA37J,C,220 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 220 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H221KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H221KA37J
C_GCM155R71H271KA37D,C,270 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 270 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H271KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H271KA37D
C_GCM155R71H271KA37J,C,270 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 270 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H271KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H271KA37J
C_GCM155R71H331KA37D,C,330 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 330 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H331KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H331KA37D
C_GCM155R71H331KA37J,C,330 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 330 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H331KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H331KA37J
C_GCM155R71H391KA37D,C,390 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 390 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H391KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H391KA37D
C_GCM155R71H391KA37J,C,390 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 390 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H391KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H391KA37J
C_GCM155R71H471KA37D,C,470 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 470 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H471KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H471KA37D
C_GCM155R71H471KA37J,C,470 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 470 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H471KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H471KA37J
C_GCM155R71H561KA37D,C,560 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 560 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H561KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H561KA37D
C_GCM155R71H561KA37J,C,560 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 560 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H561KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H561KA37J
C_GCM155R71H681KA37D,C,680 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 680 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H681KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H681KA37D
C_GCM155R71H681KA37J,C,680 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 680 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H681KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H681KA37J
C_GCM155R71H821KA37D,C,820 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 820 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H821KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H821KA37D
C_GCM155R71H821KA37J,C,820 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 820 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H821KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H821KA37J
C_GCM155R71H1001KA37D,C,1e+03 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1e+03 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1001KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1001KA37D
C_GCM155R71H1001KA37J,C,1e+03 pF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1e+03 pF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1001KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1001KA37J
C_GCM155R71H1201KA37D,C,1.2 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1.2 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1201KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1201KA37D
C_GCM155R71H1201KA37J,C,1.2 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1.2 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1201KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1201KA37J
C_GCM155R71H1501KA37D,C,1.5 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1.5 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1501KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1501KA37D
C_GCM155R71H1501KA37J,C,1.5 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1.5 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1501KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1501KA37J
C_GCM155R71H1801KA37D,C,1.8 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1.8 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1801KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1801KA37D
C_GCM155R71H1801KA37J,C,1.8 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 1.8 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H1801KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H1801KA37J
C_GCM155R71H2201KA37D,C,2.2 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 2.2 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H2201KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H2201KA37D
C_GCM155R71H2201KA37J,C,2.2 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 2.2 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H2201KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H2201KA37J
C_GCM155R71H2701KA37D,C,2.7 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 2.7 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H2701KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H2701KA37D
C_GCM155R71H2701KA37J,C,2.7 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 2.7 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H2701KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H2701KA37J
C_GCM155R71H3301KA37D,C,3.3 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 3.3 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H3301KA37D,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H3301KA37D
C_GCM155R71H3301KA37J,C,3.3 nF,footprints:C_0402_1005Metric,https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx,CAP SMD 3.3 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H3301KA37J,X7R,10%,50V,0402,1005,GCM155,https://www.trustedparts.com/en/search/GCM155R71H3301KA37J
